Identifier,Company Name,GICS Industry Name,Year,Board Cultural Diversity Percent,Board Gender Diversity Percent Score,Board Size,DIR Diversity Score,DIR Inclusion Score,EBITDA,Employees Prd/Prd Avg FY,Executive Members Gender Diversity Percent Score,Executives Cultural Diversity Score,Total Capital,Training Hours Total,Women Employees Score
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2017,42.86,15.42,7.0,21.0,0.0,427648000.0,13500.0,73.2,60.71,14666536000.0,110701.84166666666,64.70333333333333
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2018,42.86,14.86,7.0,14.0,0.0,1027100000.0,13150.0,72.27,60.71,15585744000.0,110701.84166666666,64.70333333333333
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2019,50.0,13.31,6.0,28.0,0.0,567406000.0,12450.0,72.3,60.71,14915985000.0,26799.9,67.23
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2020,50.0,10.59,6.0,27.0,0.0,504823000.0,11700.0,75.78,60.71,15360337000.0,105822.0,66.47
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2021,50.0,10.48,6.0,33.0,0.0,243200000.0,10700.0,65.32,60.71,15786376000.0,63537.0,70.45
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2022,50.0,8.33,6.0,26.714285714285715,5.714285714285714,704760000.0,10000.0,82.14,60.71,15423151000.0,126642.04,66.72
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2023,50.0,5.2,6.0,34.0,18.0,589563000.0,10250.0,81.05,60.71,15637360000.0,179814.5,59.86
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2024,33.33,4.88,6.0,30.0,22.0,670077000.0,10675.0,79.92,60.71,15886579000.0,161595.61,57.49
0142.HK,First Pacific Co Ltd,Food Products,2017,90.91,70.62,11.0,18.0,0.0,1218700000.0,111230.0,75.69,38.518,14142700000.0,137018.0,6.25
0142.HK,First Pacific Co Ltd,Food Products,2018,90.91,67.29,11.0,18.0,18.0,1431400000.0,113765.0,77.6,38.518,16921100000.0,150887.0,7.65
0142.HK,First Pacific Co Ltd,Food Products,2019,90.0,69.82,10.0,38.0,42.0,1516000000.0,106462.0,82.81,38.518,17315400000.0,99605.0,58.1
0142.HK,First Pacific Co Ltd,Food Products,2020,88.89,73.79,9.0,23.0,55.0,1538100000.0,106115.0,79.73,25.0,17847200000.0,142458.0,6.94
0142.HK,First Pacific Co Ltd,Food Products,2021,81.82,56.78,11.0,44.58,54.55,1515600000.0,102481.5,88.28,31.82,21567000000.0,92901.0,4.69
0142.HK,First Pacific Co Ltd,Food Products,2022,80.0,56.05,10.0,35.0,55.0,1850700000.0,101623.5,78.63,39.29,21963000000.0,458656.0,9.39
0142.HK,First Pacific Co Ltd,Food Products,2023,80.0,51.19,10.0,33.0,18.0,2216500000.0,100661.5,76.19,42.31,21676300000.0,314091.0,11.81
0142.HK,First Pacific Co Ltd,Food Products,2024,80.0,46.0,10.0,39.0,22.0,2507500000.0,101336.0,87.5,54.17,23275100000.0,408126.0,16.42
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2017,37.5,20.1,8.0,20.527142857142856,40.08142857142857,9037735849.06,34708.0,18.06,5.0,42595995967.16,1012027.5,29.8625
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2018,37.5,20.5,8.0,17.0,27.0,14309054301.22,41785.5,16.36,5.0,62861841599.68,1747044.0,29.8625
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2019,37.5,20.19,8.0,17.0,25.0,16407824885.46,49552.5,16.78,5.0,77884662933.6,2014863.9,29.8625
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2020,33.33,50.21,9.0,18.0,23.0,20148381165.79,58597.0,17.34,5.0,103614582435.58,2075205.0,29.8625
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2021,33.33,45.15,9.0,21.69,28.57,26688429118.77,74371.5,15.55,5.0,159464674329.5,1643200.0,32.61
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2022,25.0,47.63,8.0,22.0,64.0,28669101556.97,99314.5,15.48,5.0,188940507863.54,2694927.0,33.01
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2023,22.22,70.61,9.0,23.0,53.0,24283187380.39,110603.5,14.39,5.0,165574580989.39,2121948.8,27.43
0700.HK,Tencent Holdings Ltd,Interactive Media & Services,2024,25.0,75.85,8.0,25.0,60.0,30869424328.67,106926.5,15.3,5.0,175395333765.39,1413822.0,26.4
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2017,18.18,52.34,11.0,27.201428571428572,5.384285714285714,1403563000.0,56000.0,83.33,31.668,7967530000.0,1714125.0,44.64
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2018,18.18,44.85,11.0,29.0,0.0,1074007000.0,53000.0,81.25,31.668,9163379000.0,1615705.0,54.69
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2019,18.18,43.38,11.0,30.0,0.0,1934407000.0,55500.0,82.63,31.668,9749716000.0,1601390.0,43.42
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2020,16.67,46.38,12.0,31.0,9.0,2401437000.0,60000.0,81.09,41.67,10816321000.0,1995000.0,47.73
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2021,20.0,17.86,10.0,21.0,8.0,3114234000.0,67250.0,77.51,41.67,8960940000.0,2205000.0,53.39
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2022,20.0,43.06,10.0,28.41,7.69,4364917000.0,73250.0,60.42,25.0,11372875000.0,3718000.0,45.89
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2023,22.22,41.1,9.0,23.0,7.0,4275446000.0,76000.0,56.85,25.0,10406371000.0,2625000.0,49.4
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2024,18.18,60.96,11.0,28.0,6.0,3615379000.0,73250.0,71.92,25.0,10042876000.0,3465000.0,53.37
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2017,80.0,95.054,7.0,49.0,26.5,1626000000.0,27925.0,39.624,14.52,11512000000.0,796879.0,84.69
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2018,80.0,95.054,7.0,49.0,26.5,1950000000.0,30220.5,39.624,14.52,10787000000.0,796879.0,84.69
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2019,80.0,95.054,7.0,49.0,26.5,2009000000.0,29315.5,39.624,14.52,10197000000.0,796879.0,84.69
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2020,100.0,89.67,7.0,37.0,36.0,1532000000.0,27517.5,51.43,14.52,10978000000.0,171276.0,87.5
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2021,85.71,97.25,7.0,52.0,0.0,2097000000.0,27925.0,40.55,10.71,11286000000.0,291379.0,83.08
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2022,71.43,97.33,7.0,55.0,0.0,1862000000.0,27925.0,37.5,14.52,11057000000.0,696277.0,88.13
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2023,71.43,95.96,7.0,49.0,26.5,1978000000.0,24646.5,34.36,14.52,11181000000.0,1666429.0,78.8
1876.HK,Budweiser Brewing Company APAC Ltd,Beverages,2024,71.43,95.06,7.0,52.0,70.0,1764000000.0,27925.0,34.28,18.33,10444000000.0,1159034.0,85.94
2002.TW,China Steel Corp,Metals & Mining,2017,61.54,45.8,13.0,13.0,12.0,2010779077.61,27485.5,17.91,25.0,19896676016.45,302399.0,1.98
2002.TW,China Steel Corp,Metals & Mining,2018,58.33,44.78,12.0,15.0,43.0,2221034322.55,28490.0,17.27,58.93,18677528580.31,345469.0,2.74
2002.TW,China Steel Corp,Metals & Mining,2019,79.9675,40.14,12.0,12.0,38.0,1600642047.54,27987.75,17.69,58.93,19466661506.57,312149.0,2.14
2002.TW,China Steel Corp,Metals & Mining,2020,79.9675,40.13,12.0,12.0,41.0,1291731647.37,27987.75,16.77,58.93,19585283633.13,357525.0,1.02
2002.TW,China Steel Corp,Metals & Mining,2021,100.0,38.46,11.0,11.68,36.41,4177346961.61,27987.75,14.92,58.93,20648890877.6,350632.0,2.26
2002.TW,China Steel Corp,Metals & Mining,2022,100.0,35.84,11.0,27.0,39.0,1718811165.25,27987.75,11.45,58.93,19661011479.22,211045.0,2.5
2002.TW,China Steel Corp,Metals & Mining,2023,79.9675,31.65,11.0,12.0,46.0,1166410207.94,27987.75,10.11,92.86,19665653607.98,258431.0,6.3
2002.TW,China Steel Corp,Metals & Mining,2024,79.9675,27.39,11.0,16.0,51.0,1047147750.5,27987.75,24.73,58.93,18706850083.88,265609.0,6.19
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2017,18.055,50.0,10.0,15.0,0.0,12108416842.22,37000.0,42.86,28.334000000000003,71518540838.91,725850.0,2.6
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2018,18.055,46.88,10.0,14.0,0.0,13833115252.34,33500.0,43.75,28.334000000000003,71636064944.41,725850.0,6.19
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2019,18.055,45.71,10.0,14.0,0.0,7343169457.18,35250.0,42.86,28.334000000000003,66961128559.24,725850.0,5.91
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2020,18.055,43.59,10.0,9.0,0.0,5124436358.79,35250.0,42.31,25.0,64033895775.02,725850.0,5.96
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2021,18.055,41.67,12.0,5.0,0.0,12070155575.68,35250.0,40.74,25.0,66703758324.9,336000.0,6.65
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2022,18.055,40.48,9.0,16.428571428571427,10.142857142857142,9125175405.91,35250.0,40.48,25.0,67189402182.59,539400.0,7.84
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2023,25.0,36.54,8.0,29.0,14.0,5159783988.48,35250.0,40.38,25.0,61011069123.69,620000.0,19.97
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2024,11.11,35.63,9.0,29.0,57.0,5188390737.29,35250.0,40.0,41.67,58322126164.49,1408000.0,20.27
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2017,50.0,64.89,8.0,42.0,33.0,21805671532.6,47785.0,67.54,30.436666666666667,58550590486.14,623711.0,74.39
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2018,70.0,80.6,10.0,32.0,35.0,22170563688.12,48677.0,61.87,16.67,60794131335.27,639852.0,72.64
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2019,77.78,83.45,9.0,32.0,32.0,22074757163.4,50024.5,64.97,30.436666666666667,60678546022.94,540408.0,76.09
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2020,66.67,83.55,9.0,25.0,4.0,32004222546.75,51671.0,49.05,26.19,79082542974.18,741178.0,76.11
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2021,50.0,43.91,10.0,35.0,31.0,38697162456.7,49539.375,44.76,32.69,105605573506.06,926379.0,76.17
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2022,50.0,41.27,10.0,36.31,32.66,50996627007.23,49539.375,34.34,10.0,125953064165.88,3185784.0,61.99
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2023,50.0,36.44,10.0,41.0,34.0,47378154194.64,49539.375,24.2,35.71,144786236457.86,5077993.0,63.08
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors & Semiconductor Equipment,2024,50.0,31.91,10.0,44.0,36.0,60576488333.08,49539.375,24.2,61.36,163906268415.43,6533075.5,63.71
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2017,50.0,83.175,9.0,36.77,31.776666666666667,1223254496.5471427,30756.5,91.1125,91.965,25325406983.488567,1207659.7533333332,24.290000000000003
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2018,50.0,83.175,9.0,36.77,31.776666666666667,724851759.06,30756.5,91.1125,91.965,18881069886.11,1207659.7533333332,24.290000000000003
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2019,50.0,83.175,9.0,36.77,31.776666666666667,1066159697.48,24949.5,91.1125,91.965,22644793833.18,1207659.7533333332,24.290000000000003
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2020,50.0,83.175,9.0,36.77,31.776666666666667,1177921658.19,27437.0,91.1125,91.965,22054897153.04,1207659.7533333332,24.290000000000003
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2021,55.56,77.36,9.0,36.77,31.776666666666667,2138634022.99,30295.5,95.05,96.43,24051078007.66,1207659.7533333332,20.76
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2022,55.56,74.85,9.0,31.31,33.33,1615293052.69,32950.5,93.95,87.5,29327486972.81,1094601.87,22.35
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2023,44.44,90.62,9.0,39.0,31.0,1118461114.66,34423.0,87.69,91.965,29891285014.21,1232526.89,26.68
300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,Food Products,2024,44.44,89.87,9.0,40.0,31.0,721460170.76,34483.5,87.76,91.965,30427238017.41,1295850.5,27.37
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2017,26.925,31.05666666666666,13.0,42.56,33.73833333333334,1830677803.25,91928.66666666667,52.978333333333346,34.09,9456994100.2,9741219.833333334,91.56166666666667
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2018,26.925,31.05666666666666,13.0,42.56,33.73833333333334,2255799005.33,81322.0,52.978333333333346,34.09,13703441350.65,9741219.833333334,91.56166666666667
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2019,30.77,38.73,13.0,19.0,0.0,2454081881.71,95209.5,60.54,34.09,14547306329.2,9619786.0,94.93
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2020,30.77,38.16,13.0,37.0,3.0,3048010222.62,99254.5,57.59,34.09,15394203918.08,11549300.0,93.89
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2021,30.77,33.65,13.0,51.36,32.43,4182216332.27,91928.66666666667,53.63,34.09,17693092126.15,12552865.0,93.93
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2022,23.08,29.52,13.0,47.0,53.0,4399400137.36,91928.66666666667,50.9,34.09,16679197926.55,8329083.0,87.33
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2023,23.08,25.8,13.0,51.0,57.0,3172468906.85,91928.66666666667,49.2,34.09,16209063066.29,8947514.0,89.24
3711.TW,ASE Technology Holding Co Ltd,Semiconductors & Semiconductor Equipment,2024,23.08,20.48,13.0,50.0,57.0,2986193015.1,91928.66666666667,46.01,34.09,16690518163.79,7448771.0,90.05
600299.SS,Bluestar Adisseo Co,Chemicals,2017,40.736666666666665,47.842499999999994,9.25,26.5,7.5,474817738.19,1910.0,78.52499999999999,90.54,2655474094.34,30686.5,16.12
600299.SS,Bluestar Adisseo Co,Chemicals,2018,40.736666666666665,47.842499999999994,9.25,26.5,7.5,386353212.13,2104.0,78.52499999999999,90.54,2536101018.11,30686.5,16.12
600299.SS,Bluestar Adisseo Co,Chemicals,2019,40.736666666666665,47.842499999999994,9.25,26.5,7.5,353795891.87,2220.0,78.52499999999999,90.54,2477399662.44,30686.5,16.12
600299.SS,Bluestar Adisseo Co,Chemicals,2020,40.736666666666665,47.842499999999994,9.25,26.5,7.5,499448806.13,2266.5,78.52499999999999,90.54,2473728977.78,30686.5,16.12
600299.SS,Bluestar Adisseo Co,Chemicals,2021,44.44,45.04,9.0,25.0,0.0,522250978.42,2400.0,85.52,90.54,2552428932.16,32040.0,16.12
600299.SS,Bluestar Adisseo Co,Chemicals,2022,40.736666666666665,69.11,10.0,26.5,7.5,426312207.85,2555.5,82.51,90.54,2463905729.86,32018.0,16.12
600299.SS,Bluestar Adisseo Co,Chemicals,2023,44.44,39.85,9.0,26.5,7.5,262793971.37,2695.0,82.49,90.54,2412456428.75,34688.0,15.31
600299.SS,Bluestar Adisseo Co,Chemicals,2024,33.33,37.37,9.0,28.0,15.0,471709972.19,2831.5,63.58,90.54,2321166962.59,24000.0,16.93
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2017,67.85499999999999,18.75,8.0,42.0,25.0,46195475750.17166,453338.8,14.63,90.0,182839159351.445,29665700.0,98.45
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2018,67.85499999999999,16.91,8.0,40.0,25.0,46195475750.17166,453338.8,16.36,90.0,182839159351.445,41122056.0,97.64
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2019,67.85499999999999,16.18,7.0,40.0,23.0,40170605774.13,453338.8,16.78,90.0,148895353065.23,46282521.6,95.49
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2020,85.71,18.84,7.0,39.0,29.0,43088569048.23,457695.5,17.34,90.0,165070527737.08,48224462.3,94.92
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2021,67.85499999999999,17.86,8.0,34.0,0.0,44531954022.99,455285.5,17.81,90.0,182171034482.76,59653791.6,95.42
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2022,67.85499999999999,13.19,8.0,34.94,28.57,50876403079.3,452133.0,11.11,90.0,195954093921.7,64070601.6,94.3
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2023,67.85499999999999,52.05,8.0,37.0,27.0,49157919155.6,450316.0,11.64,90.0,202044597807.81,56337250.0,95.19
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2024,50.0,45.89,8.0,35.0,27.0,49347403420.78,451264.0,10.96,90.0,202899349094.09,55936554.0,94.82
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2017,44.446000000000005,12.475999999999999,9.2,38.92,41.69,204982074.03,15342.0,20.476,95.95,1294237646.55,491276.4,74.45599999999999
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2018,44.446000000000005,12.475999999999999,9.2,38.92,41.69,274738338.23,15918.5,20.476,95.95,1471259961.88,491276.4,74.45599999999999
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2019,44.446000000000005,12.475999999999999,9.2,38.92,41.69,257374206.97,17538.0,20.476,95.95,1582674087.7,491276.4,74.45599999999999
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2020,11.11,13.42,10.0,30.0,38.0,254066105.03,18607.5,37.5,95.95,1823266129.45,417860.0,79.09
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2021,11.11,12.41,9.0,29.0,39.0,394037341.0,18597.0,17.05,95.95,2591136657.47,572074.0,80.92
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2022,55.56,12.65,9.0,43.6,37.45,494660641.36,21657.0,16.05,95.95,3302092868.5,569222.0,69.68
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2023,77.78,12.18,9.0,42.0,47.0,628717356.32,24271.0,15.96,95.95,3543519265.79,479808.0,68.02
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,2024,66.67,11.72,9.0,50.0,47.0,478944337.68,23391.5,15.82,95.95,3602023838.37,417418.0,74.57
6501.T,Hitachi Ltd,Industrial Conglomerates,2017,23.08,92.36,13.0,32.0,47.0,8979933560.78,319565.5,36.72,35.0,47347800323.22,8278828.2,31.374000000000002
6501.T,Hitachi Ltd,Industrial Conglomerates,2018,23.08,90.78,13.0,40.0,47.0,10142650103.52,305581.0,34.87,35.0,52342979484.28,8278828.2,31.374000000000002
6501.T,Hitachi Ltd,Industrial Conglomerates,2019,18.18,93.69,11.0,57.0,47.0,10117096715.99,301608.0,33.41,35.0,48891862143.63,8278828.2,31.374000000000002
6501.T,Hitachi Ltd,Industrial Conglomerates,2020,18.18,89.4,11.0,32.0,55.0,10168697107.78,298498.5,17.81,35.0,53490012089.65,8278828.2,34.62
6501.T,Hitachi Ltd,Industrial Conglomerates,2021,15.38,78.53,13.0,42.24,52.63,8897624209.58,325960.0,32.0,35.0,61929430894.31,8278828.2,26.04
6501.T,Hitachi Ltd,Industrial Conglomerates,2022,15.38,71.87,13.0,47.0,54.0,10489569291.47,359555.5,64.2,37.5,69718798290.32,9427123.2,34.26
6501.T,Hitachi Ltd,Industrial Conglomerates,2023,8.33,67.22,12.0,47.0,54.0,9585405527.52,345386.0,61.3,37.5,56848520219.9,8223413.4,31.25
6501.T,Hitachi Ltd,Industrial Conglomerates,2024,8.33,62.61,12.0,50.0,41.0,7966677681.58,295590.0,71.22,30.0,46524519199.0,7185948.0,30.7
6758.T,Sony Group Corp,Household Durables,2017,9.203999999999999,73.03,11.0,47.0,74.0,6502567785.96,126850.0,93.42,90.0,39028739450.53,137625.0,26.56
6758.T,Sony Group Corp,Household Durables,2018,9.203999999999999,65.78,12.0,55.0,69.0,10274863542.25,122850.0,97.58,90.0,47067880670.05,242247.0,40.79
6758.T,Sony Group Corp,Household Durables,2019,9.203999999999999,91.26,12.0,65.0,55.0,10823637675.93,115850.0,98.56,90.0,52372266329.84,2288000.0,37.5
6758.T,Sony Group Corp,Household Durables,2020,7.69,99.04,13.0,73.0,84.0,11857695526.83,113050.0,95.7,90.0,58330242722.96,215803.0,50.0
6758.T,Sony Group Corp,Household Durables,2021,8.33,99.26,12.0,67.66,91.11,12139304426.38,110700.0,92.74,90.0,82973152664.86,1262000.0,41.78
6758.T,Sony Group Corp,Household Durables,2022,10.0,99.38,10.0,62.0,92.0,12656666118.69,109300.0,86.86,90.0,86707685352.62,1472974.0,35.54
6758.T,Sony Group Corp,Household Durables,2023,10.0,98.96,10.0,59.0,63.0,17118058588.75,110950.0,89.48,90.0,79280985013.93,1462334.0,38.76
6758.T,Sony Group Corp,Household Durables,2024,10.0,99.13,10.0,64.0,76.0,15255528385.43,113000.0,89.91,90.0,78279941841.25,1735760.0,37.36
7203.T,Toyota Motor Corp,Automobiles,2017,7.14,28.02,14.0,37.348571428571425,72.53999999999999,32369563655.95,356661.0,38.14,75.0,339600287304.72,480294.0,22.845
7203.T,Toyota Motor Corp,Automobiles,2018,7.69,25.69,13.0,30.0,90.0,38903585544.89,366784.5,36.72,75.0,369561829474.87,480294.0,22.845
7203.T,Toyota Motor Corp,Automobiles,2019,16.67,24.65,6.0,37.0,70.0,38433056658.25,369997.0,34.87,75.0,367334788884.88,480294.0,22.845
